Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0006006,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0009451,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0034727,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0035973,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0090263,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0010038,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0009794,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0015813,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0071028,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0007212,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0061066,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0050793,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:1902667,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0051307,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0006893,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0055059,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0042761,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0042542,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0016126,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0010506,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0010508,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0051302,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0007267,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0048814,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0048846,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0006825,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0000212,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0035249,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0034501,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:1902742,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0090727,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0007423,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0006309,0/120 (0.0%),0/120 (0.0%),0.0,0.9710971026353848,0.9999967369626577,1.0,0.0,0.012737341636534474,1.4171214240781989e-06
GO:0006886,1/120 (0.8%),0/120 (0.0%),3.9019047619047624,0.9726040913231074,0.9999967369626577,1.0,1.9641785649268162,0.012063907875684276,1.4171214240781989e-06
GO:0035046,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007338,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0038007,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007417,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0019941,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0060179,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:1904263,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0006122,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007029,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:1905815,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0006164,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0048024,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007254,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007274,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0035545,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0002164,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0051988,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0070266,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0031175,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0030536,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0030042,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0030516,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0060282,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:2000114,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:1900182,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0032981,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0000463,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0000727,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0006401,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:1905789,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0030041,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007617,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0048730,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0093002,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0030509,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0008608,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0001676,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0005977,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007420,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0072327,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0014057,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0007166,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0061564,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0043054,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0042078,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0010558,0/120 (0.0%),0/120 (0.0%),0.0,0.9734736990564941,0.9999967369626577,1.0,0.0,0.011675777589182722,1.4171214240781989e-06
GO:0006897,1/120 (0.8%),0/120 (0.0%),4.056435643564356,0.9745015633009918,0.9999967369626577,1.0,2.0202125998411438,0.011217459848104532,1.4171214240781989e-06
