Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0016324,1/120 (0.8%),0/120 (0.0%),4.502197802197802,0.9789956990028487,1.0,1.0,2.1706294423942425,0.00921921616768199,-0.0
GO:0043204,1/120 (0.8%),0/120 (0.0%),4.655681818181819,0.980272206757335,1.0,1.0,2.2189924639556415,0.008653310554986813,-0.0
GO:0017053,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0045275,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005675,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0030008,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0000145,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005885,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0048188,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0045277,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0000815,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0030686,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0030688,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0000444,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0031083,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005861,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005801,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0008180,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005891,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0030126,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0019185,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0072687,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0005744,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0045179,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0000138,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0031252,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
